name,score,generations,seed,rotamers,atoms,evaluations,population,rate,iteration
1fkb_ligand,-1.064458,38,5,6,144,98800,100,50,50
1fkb_ligand,-3.784925,38,6,6,144,98800,100,50,50
1fkb_ligand,-5.167323,38,7,6,144,98800,100,50,50
1fkb_ligand,-1.573533,38,8,6,144,98800,100,50,50
1fkb_ligand,-8.468485,38,9,6,144,98800,100,50,50
1fkb_ligand,-14.933469,13,0,6,144,98800,100,75,100
1fkb_ligand,-3.636957,13,10,6,144,98800,100,75,100
1fkb_ligand,-6.127142,13,11,6,144,98800,100,75,100
1fkb_ligand,-7.264974,13,12,6,144,98800,100,75,100
1fkb_ligand,-6.637062,13,13,6,144,98800,100,75,100
1fkb_ligand,-5.383692,13,14,6,144,98800,100,75,100
1fkb_ligand,-7.537981,13,1,6,144,98800,100,75,100
1fkb_ligand,-6.345041,13,2,6,144,98800,100,75,100
1fkb_ligand,-3.986327,13,3,6,144,98800,100,75,100
1fkb_ligand,-7.576799,13,4,6,144,98800,100,75,100
1fkb_ligand,-4.255226,13,5,6,144,98800,100,75,100
1fkb_ligand,-5.414749,13,6,6,144,98800,100,75,100
1fkb_ligand,-3.451635,13,7,6,144,98800,100,75,100
1fkb_ligand,-3.107293,13,8,6,144,98800,100,75,100
1fkb_ligand,-8.587472,13,9,6,144,98800,100,75,100
1fkb_ligand,-16.262194,125,0,6,144,106250,100,75,10
1fkb_ligand,-1.303405,125,10,6,144,106250,100,75,10
1fkb_ligand,-4.599115,125,11,6,144,106250,100,75,10
1fkb_ligand,-6.155303,125,12,6,144,106250,100,75,10
1fkb_ligand,-4.110202,125,13,6,144,106250,100,75,10
1fkb_ligand,-1.745908,125,14,6,144,106250,100,75,10
1fkb_ligand,3.258332,125,1,6,144,106250,100,75,10
1fkb_ligand,-6.339354,125,2,6,144,106250,100,75,10
1fkb_ligand,-5.675129,125,3,6,144,106250,100,75,10
1fkb_ligand,-7.670007,125,4,6,144,106250,100,75,10
1fkb_ligand,-5.086958,125,5,6,144,106250,100,75,10
1fkb_ligand,-3.477785,125,6,6,144,106250,100,75,10
1fkb_ligand,-3.559870,125,7,6,144,106250,100,75,10
1fkb_ligand,-4.402711,125,8,6,144,106250,100,75,10
1fkb_ligand,-8.263671,125,9,6,144,106250,100,75,10
1fkb_ligand,-8.740354,6,0,6,144,90600,100,75,200
1fkb_ligand,-3.476060,6,10,6,144,90600,100,75,200
1fkb_ligand,-4.762843,6,11,6,144,90600,100,75,200
1fkb_ligand,-6.419131,6,12,6,144,90600,100,75,200
1fkb_ligand,-6.743302,6,13,6,144,90600,100,75,200
1fkb_ligand,-5.805890,6,14,6,144,90600,100,75,200
1fkb_ligand,-4.084483,6,1,6,144,90600,100,75,200
1fkb_ligand,-4.014614,6,2,6,144,90600,100,75,200
1fkb_ligand,-2.729151,6,3,6,144,90600,100,75,200
1fkb_ligand,-7.440147,6,4,6,144,90600,100,75,200
1fkb_ligand,-3.803992,6,5,6,144,90600,100,75,200
1fkb_ligand,-4.591548,6,6,6,144,90600,100,75,200
1fkb_ligand,-2.241554,6,7,6,144,90600,100,75,200
1fkb_ligand,-2.809581,6,8,6,144,90600,100,75,200
1fkb_ligand,-8.061064,6,9,6,144,90600,100,75,200
1fkb_ligand,-14.361590,52,0,6,144,102700,100,75,25
1fkb_ligand,-1.926262,52,10,6,144,102700,100,75,25
1fkb_ligand,-6.316587,52,11,6,144,102700,100,75,25
1fkb_ligand,-6.135970,52,12,6,144,102700,100,75,25
1fkb_ligand,-5.924716,52,13,6,144,102700,100,75,25
1fkb_ligand,-2.131034,52,14,6,144,102700,100,75,25
1fkb_ligand,-1.541326,52,1,6,144,102700,100,75,25
1fkb_ligand,-3.712396,52,2,6,144,102700,100,75,25
1fkb_ligand,-4.797120,52,3,6,144,102700,100,75,25
1fkb_ligand,-7.655655,52,4,6,144,102700,100,75,25
1fkb_ligand,-3.260128,52,5,6,144,102700,100,75,25
1fkb_ligand,-2.948802,52,6,6,144,102700,100,75,25
1fkb_ligand,-3.553831,52,7,6,144,102700,100,75,25
1fkb_ligand,-3.166588,52,8,6,144,102700,100,75,25
1fkb_ligand,-7.344856,52,9,6,144,102700,100,75,25
1fkb_ligand,-3.894629,4,0,6,144,90400,100,75,300
1fkb_ligand,-1.505561,4,10,6,144,90400,100,75,300
1fkb_ligand,-3.859644,4,11,6,144,90400,100,75,300
1fkb_ligand,-5.826535,4,12,6,144,90400,100,75,300
1fkb_ligand,-4.770486,4,13,6,144,90400,100,75,300
1fkb_ligand,-4.832820,4,14,6,144,90400,100,75,300
1fkb_ligand,-1.101447,4,1,6,144,90400,100,75,300
1fkb_ligand,-2.737533,4,2,6,144,90400,100,75,300
1fkb_ligand,7.876036,4,3,6,144,90400,100,75,300
1fkb_ligand,-7.126823,4,4,6,144,90400,100,75,300
1fkb_ligand,-2.099861,4,5,6,144,90400,100,75,300
1fkb_ligand,-4.218365,4,6,6,144,90400,100,75,300
